t_s,track_id,est_e_m,est_n_m,est_u_m,est_vel_e,est_vel_n,est_vel_u,pos_err_m,az_err_deg,el_err_deg,range_err_m
2.7000,1,-1197.6480,1243.6179,137.5929,7.4614,-13.4207,11.8162,13.3920,-0.1356,0.4203,1.1632
2.7030,1,-1194.4695,1247.4767,128.2602,9.4867,-10.9469,5.9054,3.6269,0.0291,0.1109,1.0776
2.7400,1,-1193.6831,1246.5976,128.5646,9.6857,-11.1666,5.9670,3.8336,0.0278,0.1228,0.4798
2.8400,1,-1191.4727,1244.3423,129.0065,10.2541,-11.6580,5.8883,4.5303,0.0290,0.1426,-1.1220
2.9000,1,-1190.8574,1243.6428,129.3598,10.2541,-11.6580,5.8883,4.8766,0.0277,0.1550,-1.1154
2.9400,1,-1190.5354,1243.2420,129.8994,10.2159,-11.6348,6.0740,5.3665,0.0262,0.1731,-0.9801
3.0400,1,-1188.9659,1241.4411,130.2240,10.4421,-11.9106,5.9138,5.9610,0.0225,0.1872,-1.8215
3.1000,1,-1188.3520,1240.7147,130.5788,10.4346,-11.9178,5.9138,6.3142,0.0205,0.1998,-1.8331
3.1400,1,-1187.6426,1240.0668,130.6063,10.5670,-11.9762,5.7955,6.4919,0.0227,0.2021,-2.1815
3.2400,1,-1186.7622,1239.1866,131.2447,10.5058,-11.8354,5.8250,7.0123,0.0236,0.2238,-1.8608
3.3000,1,-1186.1318,1238.4765,131.5942,10.5058,-11.8354,5.8250,7.3673,0.0224,0.2362,-1.8724
3.3400,1,-1185.8923,1237.6612,131.6199,10.3901,-12.0112,5.7130,7.4274,0.0093,0.2379,-2.0175
3.4400,1,-1184.0007,1235.7146,131.9812,10.7372,-12.2955,5.6130,8.2666,0.0099,0.2542,-3.1831
3.5000,1,-1183.3564,1234.9769,132.3180,10.7372,-12.2955,5.6130,8.6135,0.0084,0.2664,-3.2250
3.5400,1,-1184.9882,1236.5019,132.9004,9.9269,-11.5198,5.7696,8.3722,0.0043,0.2789,-0.3515
3.6400,1,-1184.7908,1236.3189,133.5057,9.6303,-11.1401,5.7733,8.9550,0.0048,0.2971,0.9402
3.7000,1,-1184.2193,1235.6444,133.8521,9.6272,-11.1431,5.7733,9.3196,0.0030,0.3093,0.9951
3.7030,1,-1183.4547,1237.0449,126.0833,9.9726,-10.4169,2.0272,2.3817,0.0539,0.0495,0.9386
3.7400,1,-1183.1698,1236.6904,126.2132,9.9393,-10.4101,2.0532,2.4863,0.0526,0.0539,1.0509
3.7700,1,-1183.4206,1235.9229,125.3583,9.6671,-10.6312,1.6157,1.5665,0.0288,0.0256,1.0621
3.8400,1,-1180.9081,1233.3052,125.2710,10.3497,-11.3230,1.5420,1.9480,0.0289,0.0297,-1.5042
3.9000,1,-1180.2968,1232.6167,125.3635,10.3449,-11.3276,1.5420,1.9890,0.0278,0.0335,-1.5076
3.9400,1,-1179.3571,1231.5270,125.3234,10.5303,-11.5653,1.5007,2.6646,0.0252,0.0346,-2.3386
4.0400,1,-1177.5412,1229.5381,125.4371,10.8023,-11.8676,1.4941,3.7863,0.0231,0.0423,-3.5030
4.1000,1,-1176.8876,1228.8313,125.5267,10.8051,-11.8649,1.4941,3.8642,0.0225,0.0461,-3.5489
4.1370,1,-1174.9233,1229.8257,126.3982,11.5909,-11.1511,1.8819,5.0556,0.0935,0.0759,-3.5674
4.1400,1,-1174.7874,1229.8309,126.3847,11.6357,-11.1258,1.8729,5.1364,0.0969,0.0756,-3.6079
4.2400,1,-1173.6238,1228.7183,126.5720,11.6357,-11.1258,1.8729,5.3311,0.0994,0.0832,-3.6855
4.3000,1,-1172.9218,1228.0544,126.6844,11.6377,-11.1239,1.8729,5.4529,0.1010,0.0878,-3.7320
4.3400,1,-1171.0983,1226.1471,126.6257,12.1014,-11.6312,1.8308,7.0399,0.1011,0.0913,-5.7629
4.4400,1,-1169.6388,1224.5996,126.6712,12.1744,-11.7705,1.7707,7.5817,0.1006,0.0955,-6.3684
4.5000,1,-1168.9260,1223.8768,126.7775,12.1655,-11.7790,1.7707,7.7189,0.1012,0.1001,-6.4654
4.5400,1,-1170.9383,1225.7705,127.2290,11.3101,-11.0082,1.9112,5.2636,0.0962,0.1072,-3.0751
4.6400,1,-1170.4356,1225.4846,127.6106,11.1171,-10.7273,1.9880,5.0843,0.1018,0.1187,-2.0866
4.7000,1,-1169.7779,1224.8321,127.7299,11.1125,-10.7317,1.9880,5.1979,0.1026,0.1235,-2.0938
4.7400,1,-1169.4909,1224.6695,127.7913,11.0690,-10.6360,1.9766,5.1805,0.1059,0.1253,-1.7992
4.8400,1,-1168.9940,1224.2833,127.9693,10.8745,-10.4132,1.9586,5.1040,0.1090,0.1301,-0.8943
4.9000,1,-1168.2832,1223.7138,128.0868,10.9022,-10.3868,1.9586,5.2787,0.1131,0.1348,-0.8783
4.9400,1,-1167.8802,1223.5962,128.0395,10.9103,-10.2706,1.9015,5.3408,0.1202,0.1330,-0.6392
5.0400,1,-1169.2107,1225.0190,128.6001,10.1410,-9.5030,2.0272,6.2570,0.1209,0.1442,2.8576
5.1000,1,-1168.6249,1224.4274,128.7218,10.1307,-9.5129,2.0272,6.3960,0.1214,0.1488,2.9441
5.1400,1,-1168.7511,1224.5190,128.8390,9.9585,-9.3705,2.0360,6.8154,0.1205,0.1513,3.7109
5.1700,1,-1169.4214,1223.4793,127.5036,9.5209,-9.7112,1.4555,5.4471,0.0797,0.1062,3.7756
5.2400,1,-1168.3469,1222.3275,127.6999,9.6455,-9.8621,1.5001,5.2662,0.0791,0.1149,3.2783
5.3000,1,-1167.7752,1221.7290,127.7899,9.6423,-9.8651,1.5001,5.3869,0.0791,0.1184,3.3671
5.3400,1,-1167.0506,1220.9873,127.8111,9.7469,-9.9714,1.4885,5.1799,0.0795,0.1207,2.9396
5.4400,1,-1166.1168,1220.1007,128.0616,9.7401,-9.9340,1.5288,5.5305,0.0816,0.1297,3.1883
5.5000,1,-1165.5176,1219.5189,128.1533,9.7467,-9.9277,1.5288,5.6628,0.0826,0.1333,3.2702
5.5370,1,-1165.9282,1218.4941,127.5762,9.4067,-10.2192,1.2740,4.9388,0.0485,0.1140,3.3256
5.5400,1,-1166.2787,1218.8210,127.6877,9.2892,-10.1132,1.3125,5.3536,0.0476,0.1164,3.8615
5.6400,1,-1165.3498,1217.8097,127.8189,9.2892,-10.1132,1.3125,5.5535,0.0466,0.1216,4.0146
5.7000,1,-1164.7921,1217.2032,127.8977,9.2893,-10.1130,1.3125,5.6742,0.0461,0.1248,4.1065
5.7400,1,-1163.8441,1216.3041,127.9056,9.4693,-10.2528,1.3014,5.2606,0.0482,0.1273,3.4107
5.8400,1,-1162.8971,1215.2789,128.0358,9.4693,-10.2528,1.3014,5.4465,0.0474,0.1325,3.5412
5.9000,1,-1162.3354,1214.6575,128.1139,9.4665,-10.2556,1.3014,5.5563,0.0466,0.1357,3.6196
5.9400,1,-1160.3948,1212.8231,127.9544,9.9400,-10.6575,1.2363,4.5410,0.0511,0.1361,1.5530
6.0030,1,-1159.2639,1212.8955,125.8860,10.1617,-10.3230,0.3817,3.4619,0.0808,0.0660,1.6275
6.0400,1,-1159.1330,1212.7843,125.9737,10.0930,-10.2446,0.4077,3.7105,0.0814,0.0684,2.0182
6.1000,1,-1158.5308,1212.1664,125.9982,10.0914,-10.2460,0.4077,3.7629,0.0817,0.0697,2.0669
6.1400,1,-1157.6575,1211.2210,126.0118,10.2241,-10.4050,0.4135,3.4679,0.0809,0.0724,1.3895
6.1700,1,-1157.2563,1211.0216,125.8265,10.2666,-10.3535,0.3340,3.4781,0.0861,0.0663,1.4091
6.2030,1,-1157.4742,1210.1855,125.4526,10.0099,-10.5778,0.1782,2.7771,0.0610,0.0538,1.4327
6.2400,1,-1156.9551,1209.6889,125.4314,10.0579,-10.6045,0.1688,2.7187,0.0621,0.0539,1.2699
6.3000,1,-1156.3493,1209.0549,125.4416,10.0590,-10.6035,0.1688,2.7487,0.0620,0.0549,1.3035
6.3030,1,-1156.1337,1209.2419,125.0268,10.1453,-10.4969,-0.0044,2.7427,0.0718,0.0407,1.3091
6.3400,1,-1156.6229,1209.8302,125.1001,9.9061,-10.2114,0.0116,3.5944,0.0736,0.0402,2.6302
6.4400,1,-1155.7384,1208.9023,125.1109,9.8740,-10.1868,0.0141,3.7748,0.0735,0.0411,2.8647
6.5000,1,-1155.1429,1208.2940,125.1117,9.8755,-10.1853,0.0141,3.8291,0.0739,0.0416,2.9232
6.5400,1,-1155.3893,1208.5830,125.1768,9.6968,-9.9850,0.0301,4.6385,0.0746,0.0417,3.9110
6.6400,1,-1154.3830,1207.4962,125.1630,9.7008,-10.0157,0.0237,4.6592,0.0738,0.0422,3.9453
6.7000,1,-1153.7816,1206.9138,125.1644,9.7111,-10.0058,0.0237,4.7393,0.0749,0.0427,4.0184
6.7400,1,-1154.0849,1207.1699,125.2703,9.5087,-9.8297,0.0579,5.6115,0.0735,0.0442,5.0248
6.8400,1,-1152.5882,1205.6721,125.2586,9.6695,-9.9681,0.0607,5.1166,0.0751,0.0464,4.4250
6.9000,1,-1152.0141,1205.0682,125.2622,9.6662,-9.9712,0.0607,5.1858,0.0750,0.0470,4.5016
6.9400,1,-1151.4264,1204.4298,125.2349,9.7188,-10.0416,0.0517,4.9535,0.0744,0.0472,4.2393
7.0400,1,-1150.4191,1203.4220,125.1384,9.7312,-10.0371,0.0060,5.0194,0.0755,0.0447,4.3236
7.0700,1,-1151.2354,1201.9191,126.2676,9.1532,-10.6653,0.5176,5.0131,0.0195,0.0839,4.3423
7.1000,1,-1150.9564,1201.6034,126.2831,9.1555,-10.6631,0.5176,5.0523,0.0189,0.0847,4.3773
7.1400,1,-1150.1905,1200.7563,126.2564,9.2667,-10.7807,0.5044,4.6061,0.0178,0.0856,3.8418
7.2400,1,-1148.1695,1198.5535,126.2663,9.5754,-11.0933,0.5085,3.5784,0.0155,0.0909,2.3745
7.2700,1,-1148.1887,1197.9907,125.7895,9.4154,-11.2130,0.2851,3.2349,0.0016,0.0747,2.4001
7.3000,1,-1147.9036,1197.6569,125.7981,9.4168,-11.2116,0.2851,3.2585,0.0008,0.0753,2.4173
7.3400,1,-1147.4606,1197.1744,125.8385,9.4401,-11.2176,0.2993,3.2634,0.0003,0.0773,2.3722
7.4030,1,-1146.2736,1197.1682,124.8743,9.7516,-10.8481,-0.1515,2.8854,0.0297,0.0445,2.4339
7.4400,1,-1145.2401,1196.0609,124.8175,9.9400,-11.0465,-0.1606,2.1467,0.0291,0.0454,1.4738
7.5000,1,-1144.6408,1195.4009,124.8079,9.9416,-11.0450,-0.1606,2.1543,0.0283,0.0457,1.4916
7.5400,1,-1143.9861,1194.6410,124.7354,10.0062,-11.1391,-0.1851,1.8562,0.0264,0.0447,1.0922
7.6400,1,-1142.5866,1192.9847,124.6590,10.1010,-11.3057,-0.2019,1.5052,0.0218,0.0448,0.4405
7.7000,1,-1141.9675,1192.3190,124.6469,10.1081,-11.2989,-0.2019,1.5049,0.0213,0.0451,0.4403
7.7400,1,-1140.1941,1190.5280,124.5536,10.5029,-11.6620,-0.2124,2.1130,0.0228,0.0473,-1.4747
7.8400,1,-1139.9740,1190.1673,124.6044,10.2629,-11.4445,-0.1964,1.5208,0.0196,0.0472,-0.3704
7.9000,1,-1139.3552,1189.4836,124.5926,10.2645,-11.4430,-0.1964,1.5212,0.0187,0.0475,-0.3833
7.9400,1,-1139.3756,1189.5324,124.6324,10.1510,-11.2947,-0.1842,1.5068,0.0194,0.0476,0.2738
8.0030,1,-1138.3596,1189.1969,124.4587,10.3463,-11.0961,-0.2588,1.6369,0.0368,0.0423,0.2759
